,id
251,1338007254604394496
252,1338006141628923904
253,1337996151828537349
254,1337992672590618625
255,1337987744056807424
256,1337982299468668931
257,1337981824828649474
258,1337979590766104578
259,1337979102544850946
260,1337979021632569347
261,1337977565265489922
262,1337976993082613760
263,1337976788551528448
264,1337974613280759808
265,1337967890578993155
266,1337967795364048896
267,1337967722387353602
268,1337967001222844416
269,1337963149232926723
270,1337955709309382657
271,1337955289295810561
272,1337953763383009281
273,1337949315508166663
274,1337948680263909380
275,1337944492532490243
276,1337934174443847680
277,1337933177097134082
278,1337930785693773824
279,1337928923146047494
280,1337923801288421378
281,1337917488151949318
282,1337914635643727875
283,1337911047483748353
284,1337910405138624514
285,1337908190726549504
286,1337906107994566656
287,1337902845618774018
288,1337899774788456448
289,1337898508938932224
290,1337895146881421312
291,1337894682643357698
292,1337889168895201280
293,1337887453726826497
294,1337884374927368201
295,1337879732663160834
296,1337878701258760197
297,1337873683176714240
298,1337872353536176131
299,1337871594102923266
300,1337869568069480450
301,1337864584548536321
302,1337863050158804992
303,1337862648524926981
304,1337859839205109760
305,1341391875924783104
306,1341354933505957889
307,1341169150513823745
308,1339160844756770816
309,1339109823745576960
310,1339087665958891523
311,1339082031280631808
312,1339054793302536192
313,1339053117380423681
314,1339050065759936513
315,1339044514044887041
316,1339042733902626819
317,1339040975386251265
318,1339033432056217605
319,1339033153407631360
320,1339017311399899137
321,1339010485308502022
322,1339008563021303808
323,1339005297185206273
324,1338997679888740354
325,1338996762724495370
326,1338986584021065730
327,1338983928087019520
328,1338983250639933442
329,1338982168144433153
330,1338981244659490816
331,1338978205479424000
332,1338972228071768064
333,1338970128285917184
334,1338969528395558916
335,1338959749405138944
336,1338952370084925440
337,1338950799590875137
338,1338941819174924288
339,1338940642987188225
340,1338932588765978629
341,1338931418337079304
342,1338930127372079105
343,1338929722324082691
344,1338929617130967043
345,1338929510880776194
346,1338928273691201537
347,1338926247401971714
348,1338923664033648643
349,1338923647264841729
350,1338922804926885888
351,1338922618985058314
352,1338922530455826434
353,1338922519064174598
354,1338922272107753472
355,1338922124409335808
356,1338922036610146306
357,1338921454100869120
358,1338920357722525699
359,1338920335773667329
360,1338919747153489924
361,1338919705709584385
362,1338918931080351744
363,1338918003417767939
364,1338917341321703426
365,1338917260371644419
366,1338916977960742926
367,1338914922646831104
368,1338913041509912579
369,1338910249886081026
370,1338910120189849601
371,1338908840239144960
372,1338908405830995968
373,1338906718449831936
374,1338906314181812230
375,1338905121145696262
376,1338902753700147209
377,1338901771733913600
378,1338901756743471108
379,1338901455491784705
380,1338900552978149379
381,1338900321846824965
382,1338899174666895361
383,1338896457374560256
384,1338896377745715202
385,1338895344638205955
386,1338893752123985925
387,1338893024269578254
388,1338891741097844736
389,1338890735240798211
390,1338890202845245446
391,1338888356386619394
392,1338886228234657793
393,1338885910293860352
394,1338880087043829763
395,1338879871297196038
396,1338870503797305346
397,1338868104651304960
398,1338866934981357575
399,1338866460081311745
400,1338866347913039873
401,1338865375987916800
402,1338864381916893190
403,1338862629234872320
404,1338854543040401408
405,1338854085131259904
406,1338853678221053957
407,1338851246560534528
408,1338844937077534720
409,1338842046715604996
410,1338841154750705664
411,1338839863764856832
412,1338839802322542594
413,1338839502001987586
414,1338836513031909382
415,1338834223734677506
416,1338833010372849666
417,1338832008538185728
418,1338829225579655170
419,1338827127970361345
420,1338823367634378753
421,1338820828067205120
422,1338812567637127168
423,1338807527228706816
424,1338806437879963648
425,1338800949037510656
426,1338800025418260480
427,1338798305271115776
428,1338784998703259649
429,1338782375602315264
430,1338776004001611776
431,1338753508900745218
432,1338751685263548418
433,1338743203021926401
434,1338740576070594561
435,1338739928142897153
436,1338735864617250817
437,1338735538673684480
438,1338728233911640066
439,1338726722963828736
440,1338722981602881536
441,1338717658993352704
442,1338704161408348162
443,1338703800094306307
444,1338703385030139905
445,1338701676371271680
446,1338698970978164736
447,1338696748374446083
448,1338693446123417600
449,1338691555272560646
450,1338691379585830919
451,1338690107868667907
452,1338688382914932737
453,1338683918166315008
454,1338680030319190016
455,1338679161053872128
456,1338676945261834241
457,1338676802709979136
458,1338671618533576704
459,1338671561348362241
460,1338670343834263552
461,1338667837167202306
462,1338665223679401984
463,1338665051419537408
464,1338664365592113157
465,1338663503339597826
466,1338663479608225800
467,1338662801972232193
468,1338658207053598722
469,1338657666311327744
470,1338654075500568582
471,1338652621608013824
472,1338650177993908228
473,1338641612633743360
474,1338637976935538689
475,1341717209257816064
476,1341013831645097991
477,1339416621614395392
478,1339415975381192708
479,1339405624015114240
480,1339392950460100608
481,1339391907181572096
482,1339387052027125760
483,1339381366853656576
484,1339380086559174658
485,1339376946166312960
486,1339376455688613894
487,1339375293912461313
488,1339371452110233600
489,1339371027034484741
490,1339367415021498368
491,1339367181008703489
492,1339366374045577218
493,1339365046833573888
494,1339364513297133573
495,1339363211641040896
496,1339362915263131655
497,1339362023814148096
498,1339358283598090243
499,1339357808559534081
500,1339354272421572610
501,1339352536701161472
502,1339351126278168576
503,1339350883931279362
504,1339350357256900613
505,1339349978574163969
506,1339346027988529153
507,1339343639139524613
508,1339343428514148353
509,1339343219167903744
510,1339343008467193857
511,1339342396916641794
